"","year","time.oa","launches.oa","satellites.oa","debris.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","time.opt","launches.opt","satellites.opt","debris.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_welfare_loss","opt_tax_path"
"1",2006,1,64,1881,4019,1704.50028392959,1704.50028392959,4634.99193007061,0.00431045449557945,1,2.75780806360023,1,64,1881,4019,1704.50028392959,1704.50028392959,89495.1397662656,0.00431045449557945,1,2.75780806360023,49,1881,43,18,21,0,0,0,4019,0.00443443535519108,70.44,161.019,0.196541752971631,0.437463901775567,0.00443443535519108,0.449275362318841,1.20646016903435,0.19210731761644,1,1,19.3085858867725,0,-3177.85689185623,0
"2",2007,2,65,1903.51070544095,4339.60992445271,1831.13480708295,1743.93791150757,4924.89883649324,0.00447030152858245,1.04869392390687,2.53946621237933,2,65,1903.51070544095,4339.60992445271,1831.13480708295,1743.93791150757,50356.616257006,0.00447030152858245,1.04869392390687,2.53946621237933,50,1918,59,22,6,1,0,0,6542,0.00562843063497183,73.868,185.503,0.228755375981188,0.39820380263392,0.00562843063497183,0.574468085106383,1.15205658959502,0.223126945346216,1,1,10.2249036840851,0,-1681.21469763922,0
"3",2008,3,65,1926.22604392495,6120.25272910589,2195.15086251538,1991.06654196407,5406.77423158309,0.00509763415078569,1.21379897785349,2.1984667802385,3,65,1926.22604392495,6120.25272910589,2195.15086251538,1991.06654196407,22357.5889437393,0.00509763415078569,1.21379897785349,2.1984667802385,51,1957,59,20,6,1,0,0,6933,0.00603563311350029,85.504,169.996,0.260364326911498,0.502976540624485,0.00603563311350029,0.517647058823529,0.916405664598416,0.254328693797998,1,1,4.13510680973876,0,-619.872933444151,0
"4",2009,4,77,1947.24993608905,7555.03944274596,2428.84567081839,2098.12821148333,5735.98415895955,0.00565175711956523,1.32112436115843,1.86641113003975,4,77,1947.24993608905,7555.03944274596,2428.84567081839,2098.12821148333,43507.8509014663,0.00565175711956523,1.32112436115843,1.86641113003975,52,2008,72,21,5,0,1,0,9175,0.00693753228032124,93.055,137.815,0.399618091985189,0.675216776112905,0.00693753228032124,0.591836734693878,0.810695545777548,0.392680559704867,1,1,7.5850716626383,0,-1366.36301485055,0
"5",2010,5,77,1978.73406461821,7372.26375874819,2697.96046137698,2219.61874846549,6006.96592077225,0.00568724037937916,1.44108461101647,1.99432140829074,5,77,1978.73406461821,7372.26375874819,2697.96046137698,2219.61874846549,34876.0701752554,0.00568724037937916,1.44108461101647,1.99432140829074,53,2033,60,35,6,0,0,0,9518,0.00678180603491688,101.507,136.162,0.381618341877078,0.745486993434292,0.00678180603491688,0.511904761904762,0.988005659761274,0.374836535842161,1,1,5.80593774548529,0,-1027.69732428807,0
"6",2011,6,77,2009.41330884166,7281.41439383555,2941.85994512104,2305.0242450878,6305.97898254349,0.00575309508437258,1.54514480408859,2.11655309483248,6,77,2009.41330884166,7281.41439383555,2941.85994512104,2305.0242450878,32105.2740042904,0.00575309508437258,1.54514480408859,2.11655309483248,54,2063,67,37,9,0,0,0,9662,0.00683078232376902,108.839,166.985,0.352498177460642,0.651789082851753,0.00683078232376902,0.540816326530612,1.2263700591942,0.345667395136873,1,1,5.09124342043729,0,-904.394498302318,0
"7",2012,7,77,2039.2444030382,7273.54993247017,3135.11238455459,2339.46913154081,6509.72255426659,0.00584617173862078,1.62620670073822,2.35221465076661,7,77,2039.2444030382,7273.54993247017,3135.11238455459,2339.46913154081,32288.6989367802,0.00584617173862078,1.62620670073822,2.35221465076661,55,2095,63,31,6,0,0,0,9427,0.00654206309353886,114.545,186.885,0.315561245505721,0.612917034539958,0.00654206309353886,0.514851485148515,1.11917238075276,0.309019182412182,1,1,4.96007297816673,0,-890.462709461829,0
"8",2013,8,159,2068.18881999855,7339.40238856713,3145.14616134052,2235.19665739513,6740.02421173944,0.00596345756470025,1.70712663259512,2.42461669505963,8,159,2068.18881999855,7339.40238856713,3145.14616134052,2235.19665739513,34681.835899804,0.00596345756470025,1.70712663259512,2.42461669505963,56,2209,151,37,8,0,0,3,9410,0.00675067599600084,120.249,215.897,0.4413755650952,0.556973927382039,0.00675067599600084,0.792452830188679,1.15523985338577,0.4346248890992,1,1,5.1456544977089,0,-951.664178954724,0
"9",2014,9,164,2178.21290475651,7650.64001682401,3411.70848392827,2309.17859368987,7419.8976812358,0.00644171351026583,1.74872231686542,2.42305508233958,9,164,2178.21290475651,7650.64001682401,3411.70848392827,2309.17859368987,39642.3345860769,0.00644171351026583,1.74872231686542,2.42305508233958,57,2256,131,84,33,0,0,0,9130,0.00707092874183037,123.183,254.387,0.327655781378313,0.484234650355561,0.00707092874183037,0.676646706586826,1.17827945733382,0.320584852636483,1,1,5.34270636727627,0,-1042.02323410196,0
"10",2015,10,92.1557737036615,2289.60837928646,8232.8163479087,2133.43990957657,2507.63376294831,7953.28571501838,0.00704624861385286,1.79657864849517,2.42305508233958,10,164,2289.60837928646,8232.8163479087,3796.23025399838,2395.41861990439,57926.6344086533,0.00704624861385286,1.79657864849517,2.42305508233958,58,2271,89,74,28,0,0,0,9331,0.00709100620212106,126.551,239.109,0.384916882714958,0.529260713733067,0.00709100620212106,0.727272727272727,0.939941899546754,0.377825876512837,1,1.77939403728124,7.28335891407359,-51.1558888937916,-1537.4343987493,0
