"","year","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk"
"1",1958,4,5,3,20,0,0,0,0,0
"2",1959,5,8,7,13,0,0,0,0,1.84971147051879e-06
"3",1960,16,20,9,29,0,0,0,10,1.66975092043146e-05
"4",1961,29,36,23,24,0,0,0,165,2.67810752464222e-05
"5",1962,46,67,50,27,0,0,0,214,4.1137206043812e-05
"6",1963,62,58,42,35,0,0,0,246,5.39698368373692e-05
"7",1964,96,86,52,26,1,0,0,271,0.000153200532282525
"8",1965,158,129,67,19,0,0,0,687,0.000158197818453116
"9",1966,180,110,88,23,0,0,0,710,0.000156661349351281
"10",1967,213,117,84,19,0,0,0,789,0.000191350051411021
"11",1968,233,108,88,22,0,0,0,883,0.000328337917632984
"12",1969,254,109,88,25,1,0,0,1045,0.000166640854893173
"13",1970,280,105,79,14,0,0,0,1407,0.000209450533490303
"14",1971,341,126,65,25,3,0,0,1578,0.000253556616798395
"15",1972,389,105,57,12,0,0,0,1539,0.000331376325194183
"16",1973,435,108,62,10,0,0,0,1702,0.000379516358621029
"17",1974,483,107,59,12,0,0,0,1745,0.000456228991540604
"18",1975,549,128,62,9,0,0,0,2221,0.000532828758667379
"19",1976,613,124,60,5,2,0,0,2309,0.000623068623966506
"20",1977,660,100,53,9,0,0,0,2511,0.000725225207429014
"21",1978,706,122,76,6,0,0,0,2479,0.000816849106203065
"22",1979,722,104,88,8,0,0,0,2320,0.000909485416938152
"23",1980,738,106,90,15,0,0,0,2200,0.000980737180456141
"24",1981,787,128,79,5,0,0,0,2513,0.00110785316064111
"25",1982,835,118,70,42,1,0,0,2503,0.00121835832778099
"26",1983,873,112,74,26,0,0,0,2541,0.001355095300856
"27",1984,925,114,62,1,0,0,0,2807,0.00150913711777882
"28",1985,979,119,65,6,1,0,0,3172,0.00174923961870941
"29",1986,1042,113,50,20,0,0,0,3714,0.00189732996902801
"30",1987,1101,114,55,8,0,0,0,3872,0.00214614708238858
"31",1988,1132,104,73,8,0,0,0,3638,0.0023047378290487
"32",1989,1138,89,83,2,0,0,0,3056,0.00237944507320352
"33",1990,1188,111,61,11,0,0,0,3021,0.00256703442887779
"34",1991,1222,93,59,34,0,0,0,3131,0.00266922585224311
"35",1992,1239,85,68,3,0,0,0,3337,0.00278820183922054
"36",1993,1266,72,45,7,0,0,0,3414,0.00299841522748958
"37",1994,1302,67,31,5,0,0,0,3432,0.00315203253485814
"38",1995,1316,52,38,12,0,0,0,3414,0.00327227813850762
"39",1996,1336,48,28,12,0,0,1,3980,0.00339458581009959
"40",1997,1408,101,29,9,0,0,0,3793,0.00352009944437339
"41",1998,1713,334,29,16,0,0,0,3732,0.0037969911802814
"42",1999,1763,80,30,8,0,0,0,3881,0.00389668471066117
"43",2000,1784,56,35,9,0,0,0,3772,0.00394039395704756
"44",2001,1784,47,47,6,0,0,0,3905,0.00397020697930028
"45",2002,1801,59,42,5,0,0,0,3663,0.00407894131841401
"46",2003,1822,44,23,3,0,0,0,3654,0.00414654694814077
"47",2004,1843,38,17,6,0,0,0,3775,0.00432720720684614
"48",2005,1856,36,23,4,0,0,0,3886,0.0043487205793624
"49",2006,1881,43,18,21,0,0,0,4019,0.00443443535519108
"50",2007,1918,59,22,6,1,0,0,6542,0.00562843063497183
"51",2008,1957,59,20,6,1,0,0,6933,0.00603563311350029
"52",2009,2008,72,21,5,0,1,0,9175,0.00693753228032124
"53",2010,2033,60,35,6,0,0,0,9518,0.00678180603491688
"54",2011,2063,67,37,9,0,0,0,9662,0.00683078232376902
"55",2012,2095,63,31,6,0,0,0,9427,0.00654206309353886
"56",2013,2209,151,37,8,0,0,3,9410,0.00675067599600084
"57",2014,2256,131,84,33,0,0,0,9130,0.00707092874183037
"58",2015,2271,89,74,28,0,0,0,9331,0.00709100620212106
