"year","payloads_in_orbit","payloads_decayed","payloads_launched","debris"
1957,1,0,2,0
1958,5,3,5,0
1959,12,7,8,4
1960,31,9,20,25
1961,66,23,36,326
1962,132,50,67,355
1963,189,42,58,475
1964,274,52,86,579
1965,402,67,129,1455
1966,510,88,110,1563
1967,622,84,117,1606
1968,722,88,108,1867
1969,811,88,109,2093
1970,880,79,105,2643
1971,939,65,126,2849
1972,986,57,105,3063
1973,1008,62,108,3300
1974,986,59,107,3561
1975,1004,62,128,4151
1976,1011,60,124,4502
1977,1003,53,100,4777
1978,1016,76,122,4914
1979,1015,88,104,5032
1980,995,90,106,5011
1981,1018,79,128,5399
1982,1028,70,118,5686
1983,1033,74,112,5933
1984,1019,62,114,5939
1985,1014,65,119,6113
1986,1027,50,113,6836
1987,1019,55,114,7213
1988,1019,73,104,6857
1989,1002,83,89,6418
1990,985,61,111,6384
1991,960,59,93,6356
1992,933,68,85,6569
1993,891,45,72,8390
1994,839,31,67,9208
1995,778,38,52,9473
1996,712,28,48,9371
1997,709,29,101,9761
1998,954,29,334,9647
1999,923,30,80,13257
2000,886,35,56,13464
2001,848,47,47,13577
2002,835,42,59,13264
2003,812,23,44,13156
2004,798,17,38,13087
2005,786,23,36,12984
2006,728,18,43,13669
2007,453,22,59,13615
2008,432,20,59,13012
2009,448,21,72,12935
2010,461,35,60,12676
2011,469,37,67,12318
2012,488,31,63,12079
2013,601,37,151,11769
2014,696,84,131,11302
2015,742,74,89,11012
