,year,payloads_in_orbit,launch_successes,payloads_decayed,launch_failures,num_destr_asat,num_destr_satsat,num_destr_debsat,debris,risk
1,1958,4,5,3,20,0,0,0,0,0
2,1959,5,8,7,13,0,0,0,0,0.002310542874058
3,1960,16,20,9,29,0,0,0,10,0.243853548731172
4,1961,29,36,23,24,0,0,0,165,0.293831168810487
5,1962,46,67,50,27,0,0,0,214,0.367595273614033
6,1963,62,58,42,35,0,0,0,246,0.291574226780569
7,1964,96,86,52,26,0,0,0,271,0.604510027618078
8,1965,158,129,67,19,0,0,0,687,0.727773646399202
9,1966,180,110,88,23,0,0,0,710,0.948335035658345
10,1967,213,117,84,19,0,0,0,789,1.11954844795767
11,1968,233,108,88,22,1,0,0,883,0.936036736161735
12,1969,254,109,88,25,0,0,0,1045,0.582036605096715
13,1970,280,105,79,14,1,0,0,1407,0.667050595978186
14,1971,341,126,65,25,1,0,0,1578,0.793389848558951
15,1972,389,105,57,12,0,0,0,1539,0.836359344438537
16,1973,435,108,62,10,0,0,0,1702,0.895259445813498
17,1974,483,107,59,12,0,0,0,1745,0.999183548429225
18,1975,549,128,62,9,0,0,0,2221,1.12267495660687
19,1976,613,124,60,5,1,0,0,2309,1.2599847381559
20,1977,660,100,53,9,0,0,0,2511,1.38790166617235
21,1978,706,122,76,6,1,0,0,2479,1.41458517257645
22,1979,722,104,88,8,0,0,0,2320,1.49535115099755
23,1980,738,106,90,15,1,0,0,2200,1.57353279543073
24,1981,787,128,79,5,0,0,0,2513,1.63049158930461
25,1982,835,118,70,42,1,0,0,2503,1.78042345760544
26,1983,873,112,74,26,0,0,0,2541,1.94109262804006
27,1984,925,114,62,1,0,0,0,2807,2.09679263502303
28,1985,979,119,65,6,1,0,0,3172,2.29260194062895
29,1986,1042,113,50,20,0,0,0,3714,2.45975661118377
30,1987,1101,114,55,8,0,0,0,3872,2.64046354245826
31,1988,1132,104,73,8,0,0,0,3638,2.69465558278453
32,1989,1138,89,83,2,0,0,0,3056,2.76315603474726
33,1990,1188,111,61,11,0,0,0,3021,2.94394086958653
34,1991,1222,93,59,34,0,0,0,3131,2.78882475784347
35,1992,1239,85,68,3,0,0,0,3337,2.81948629032027
36,1993,1266,72,45,7,0,0,0,3414,3.172532041747
37,1994,1302,67,31,5,1,0,0,3432,3.29146997191426
38,1995,1316,52,38,12,0,0,0,3414,3.65313597228837
39,1996,1336,48,28,12,0,0,1,3980,3.72572280960375
40,1997,1408,101,29,9,0,0,0,3793,4.22626728173945
41,1998,1713,334,29,16,0,0,0,3732,4.50522268659812
42,1999,1763,80,30,8,0,0,0,3881,4.12680673501702
43,2000,1784,56,35,9,0,0,0,3772,4.13414599178078
44,2001,1784,47,47,6,0,0,0,3905,3.6283487380476
45,2002,1801,59,42,5,0,0,0,3663,3.44757588091632
46,2003,1822,44,23,3,0,0,0,3654,3.47883758249742
47,2004,1843,38,17,6,0,0,0,3775,3.65097683818341
48,2005,1856,36,23,4,0,0,0,3886,3.8044485870317
49,2006,1881,43,18,21,0,0,0,4019,4.1071734234289
50,2007,1918,59,22,6,1,0,0,6542,4.7396772164971
51,2008,1957,59,20,6,1,0,0,6933,5.08921643427632
52,2009,2008,72,21,5,0,1,0,9175,5.76191251482962
53,2010,2033,60,35,6,0,0,0,9518,5.69780954361475
54,2011,2063,67,37,9,0,0,0,9662,5.77111052579584
55,2012,2095,63,31,6,0,0,0,9427,5.66013796698894
56,2013,2209,151,37,8,0,0,3,9410,5.74487965357175
57,2014,2256,131,84,33,0,0,0,9130,5.88826953659207
58,2015,2271,89,74,28,0,0,0,9331,5.96119901784433
